group_key,group_key_type,file_id,n_candidates,n_with_datetime,is_selected,analysis_updated_datetime,workflow_type,workflow_version,workflow_mixed_flag,tie_break_applied,reason_code,api_fetch_status,dataset
"C3N-05114, C3N-05114, C3N-05114",case_id,90226de1-fb96-4d53-8a50-5e49c1fcdbde,2,2,FALSE,2024-02-22T12:55:14.062461-06:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,TRUE,not_selected,ok,WXS
"C3N-05135, C3N-05135",case_id,3a4e85ff-de62-4967-b577-a5ba0d4ff5bb,1,1,TRUE,2023-06-29T14:18:27.915839-05:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"C3N-05991, C3N-05991",case_id,7ecbd83d-2162-4789-a328-6803263f5efa,1,1,TRUE,2023-06-29T14:18:27.915839-05:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"C464694, C464694",case_id,0dec3c7d-10f9-4cbf-82b6-0849ba786d13,2,2,TRUE,2023-06-29T14:18:27.915839-05:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,TRUE,tie_break_by_file_id,ok,WXS
"C464694, C464694",case_id,7b670b4c-a4f6-40a7-a573-b91a66b3d189,2,2,FALSE,2023-06-29T14:18:27.915839-05:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,TRUE,not_selected,ok,WXS
"C760878, C760878",case_id,7dd974b4-1fde-42df-8515-18856d358743,2,2,TRUE,2024-07-12T16:24:11.564747-05:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,TRUE,tie_break_by_file_id,ok,WXS
"C760878, C760878",case_id,c6cf81e8-ba20-4d59-8ff8-1de23302c1c1,2,2,FALSE,2024-07-12T16:24:11.564747-05:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,TRUE,not_selected,ok,WXS
"C761370, C761370",case_id,792f8a97-af4f-45dc-929d-63403809b1a7,2,2,TRUE,2024-07-12T16:24:11.564747-05:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,TRUE,tie_break_by_file_id,ok,WXS
"C761370, C761370",case_id,932dd7e6-6a79-401c-934a-478799304c16,2,2,FALSE,2024-07-12T16:24:11.564747-05:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,TRUE,not_selected,ok,WXS
"C827913, C827913",case_id,622ef294-bd51-4394-b039-54f5d9f23c62,1,1,TRUE,2024-07-12T16:24:11.564747-05:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"C846363, C846363",case_id,6da934c4-caff-46a6-a195-c6a7e1316fcf,2,2,TRUE,2024-07-12T16:24:11.564747-05:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,TRUE,tie_break_by_file_id,ok,WXS
"C846363, C846363",case_id,d55e8f39-995e-4886-8e08-17cec791327e,2,2,FALSE,2024-07-12T16:24:11.564747-05:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,TRUE,not_selected,ok,WXS
"HCM-BROD-0002-C71, HCM-BROD-0002-C71",case_id,329fc967-4e37-4279-aef5-f9c0f7eec25b,1,1,TRUE,2022-05-26T16:19:31.573138-05:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
"HCM-BROD-0003-C71, HCM-BROD-0003-C71",case_id,d8adc462-c52d-4594-8330-7fc687016d67,1,1,TRUE,2022-05-26T16:17:32.755310-05:00,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,FALSE,FALSE,single_candidate,ok,WXS
