analysis,subset,gene,n_mut,n_wt,median_diff,HL_estimate,p_wilcox,p_BH,cliffs_delta,effect_size_label
28gene_Grade3,Grade3,STAT1,91,113,-0.0602060492859362,-0.10773394329514041,0.45663244137214437,0.6392854179210021,-0.060779928036565206,negligible
28gene_Grade3,Grade3,IRF1,91,113,0.1362940303957174,0.009785159232954942,0.9429383428019282,0.9778619851279255,0.005932120976368764,negligible
28gene_Grade3,Grade3,IRF9,91,113,-0.006889839490716199,0.06693121172589866,0.5460864462940076,0.664800891140531,0.0493046776232617,negligible
28gene_Grade3,Grade3,CXCL9,91,113,-0.2715177428011626,-0.21812699581837264,0.06689517006947975,0.28503166241106065,-0.14946999902752114,small
28gene_Grade3,Grade3,CXCL10,91,113,-0.24373596611098325,-0.23113942516105415,0.22549633478817252,0.4209264916045887,-0.0989010989010989,negligible
28gene_Grade3,Grade3,CXCL11,91,113,-0.2120892839904026,-0.15974676793186882,0.1482131742700629,0.37726989814197825,-0.11796168433336575,negligible
28gene_Grade3,Grade3,GBP1,91,113,0.43869069740075783,0.16350894536482502,0.4845075516572266,0.6460100688763021,0.05708450841194204,negligible
28gene_Grade3,Grade3,GBP2,91,113,1.2187646323209944,0.8381853425966099,1.9763757538666227e-4,0.005533852110826544,0.303510648643392,small
28gene_Grade3,Grade3,GBP4,91,113,-0.4210677917851542,-0.34657315076814066,0.012914564355332357,0.07232156038986119,-0.20276183992998154,small
28gene_Grade3,Grade3,GBP5,91,113,0.154018002265024,0.03074764026243641,0.6264529972429087,0.7016273569120578,0.03977438490712827,negligible
28gene_Grade3,Grade3,IDO1,91,113,-9.564678369200635e-4,-8.6447013242037e-5,0.6678837201514458,0.7192593909323263,-0.03481474277934455,negligible
28gene_Grade3,Grade3,CD3D,91,113,-0.11159407093055274,-0.14664121410302575,0.1930736157498454,0.4086341601136773,-0.10619469026548672,negligible
28gene_Grade3,Grade3,CD3E,91,113,-0.14042580060333454,-0.08444192640927206,0.40839716107169427,0.6018484478951284,-0.067490032091802,negligible
28gene_Grade3,Grade3,CD3G,91,113,-0.08668043363435934,-0.04507246711731274,0.07125791560276516,0.28503166241106065,-0.14713604979091705,small
28gene_Grade3,Grade3,CD8A,91,113,-0.25416371967466467,-0.1862107170805521,0.10471393252536125,0.2946312279285624,-0.1323543712924244,negligible
28gene_Grade3,Grade3,CD8B,91,113,-0.046591281323563244,-0.024159322312826984,0.20431708005683866,0.4086341601136773,-0.10356899737430711,negligible
28gene_Grade3,Grade3,GZMA,91,113,-0.12443742100917299,-0.1818855510408386,0.19513052415867904,0.4086341601136773,-0.10570845084119421,negligible
28gene_Grade3,Grade3,GZMB,91,113,-0.07016347272540158,-0.08551219497128956,0.2792384611462738,0.4599221712997451,-0.08830107945152194,negligible
28gene_Grade3,Grade3,PRF1,91,113,-0.24093478450240413,-0.18000921564408962,0.09775794571410543,0.2946312279285624,-0.13507731206846252,negligible
28gene_Grade3,Grade3,LAG3,91,113,0.18949246436952438,0.20854158011087753,0.007918715326994554,0.05543100728896188,0.21657103957988913,small
